,playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,index,acousticness_scaled,danceability_scaled,duration_ms_scaled,energy_scaled,instrumentalness_scaled,key_scaled,liveness_scaled,loudness_scaled,mode_scaled,speechiness_scaled,tempo_scaled,valence_scaled
17,1,"Shaayraana (From ""Holiday"")",0kCM0vcE9gbbxKdlgzKJGz,Arijit Singh,0.606,0.608,261439,0.665,1.46E-05,2,0.0832,-4.244,1,0.0482,93.919,0.704,18,1.2373754,-0.475691846,-0.078943665,-0.311202307,-0.170275643,-0.96750336,-0.641477873,1.039056234,0.705396726,-0.443090637,-0.90633443,0.346417261
18,1,Bheegi Si Bhaagi Si,665b3Nss3OQmhTUdB5hBXw,Mohit Chauhan,0.361,0.564,278093,0.867,0,8,0.262,-6.21,1,0.121,88.919,0.815,19,0.242616918,-0.795272045,0.178308488,0.892472088,-0.170660919,0.712754576,0.641459357,0.189654173,0.705396726,0.493146641,-1.109041908,0.86404395
19,1,Teri Jhuki Nazar,3beYHVCFKzbdNjJqjKeYpM,Shafqat Amanat Ali,0.707,0.386,279187,0.815,0,11,0.159,-3.395,1,0.0417,124.293,0.349,20,1.647459508,-2.088119213,0.195207363,0.582615313,-0.170660919,1.552883545,-0.097592851,1.405863126,0.705396726,-0.526683252,0.325072959,-1.309055482
20,1,Agar Tum Saath Ho,70W29IwaPMRo86tCan6tqI,Arijit Singh,0.551,0.558,341185,0.521,0.000212,3,0.189,-8.798,1,0.0333,122.925,0.409,21,1.014062271,-0.838851163,1.152882335,-1.169267221,-0.165066497,-0.687460371,0.117665074,-0.928480381,0.705396726,-0.63471063,0.269612193,-1.029257272
21,1,Jab Koi Baat - Recreated,43GfQ1SC17rBWiHkOtdwK8,Atif Aslam,0.47,0.667,192229,0.621,4.15E-05,5,0.13,-5.697,1,0.0271,106.032,0.451,22,0.685182936,-0.047163852,-1.148021455,-0.573388808,-0.169565785,-0.127374392,-0.305675511,0.411293673,0.705396726,-0.714445123,-0.415255293,-0.833398525
22,1,Amplifier,0l1i3nJ4aDMk0inxnvzYTz,Imran Khan,0.0209,0.727,232907,0.714,0,2,0.153,-4.494,1,0.0872,164.003,0.618,23,-1.138270264,0.388627328,-0.519673726,-0.019221884,-0.170660919,-0.96750336,-0.140644436,0.931044781,0.705396726,0.058465048,1.934975752,-0.05462684
23,1,The Breakup Song,5FihcmME7NlwW8KbYOaHVH,Arijit Singh,0.33,0.818,252632,0.93,0,11,0.658,-2.982,1,0.247,113.988,0.831,24,0.116749518,1.049577285,-0.214984238,1.267875488,-0.170660919,1.552883545,3.48286396,1.584298045,0.705396726,2.113557316,-0.092707154,0.938656806
24,1,Pehli Dafa,4Tkb7zsDmsawB7S5TpKQV1,Atif Aslam,0.844,0.679,298771,0.537,3.34E-06,4,0.108,-7.843,1,0.0322,111.979,0.481,25,2.20371221,0.039994384,0.497718842,-1.073926675,-0.170572781,-0.407417381,-0.463531322,-0.515876633,0.705396726,-0.648857072,-0.174155018,-0.69349942
25,1,Ainvayi Ainvayi,74AqVxZ3oXwJ8olHssBUG3,Sunidhi Chauhan,0.0339,0.689,267624,0.742,0.0046,3,0.0928,-7.571,0,0.0413,155.986,0.876,26,-1.085487161,0.112626248,0.016595219,0.147624071,-0.049272502,-0.687460371,-0.572595338,-0.398360173,-1.417641964,-0.531827412,1.609954581,1.148505464
26,1,"Ye Ishq Hai (From ""Jab We Met"")",1UHVj0W8BRn08AXvWcv8i6,Shreya Ghoshal,0.436,0.823,280974,0.637,2.15E-06,5,0.255,-7.127,0,0.159,118.043,0.873,27,0.54713482,1.085893217,0.222810918,-0.478048262,-0.170604183,-0.127374392,0.591232508,-0.206531834,-1.417641964,0.981841924,0.071688611,1.134515553
27,1,Pretty Woman,3rsx3pDYM3a08O0Yu3Tq6V,Shankar-Ehsaan-Loy,0.124,0.677,353880,0.942,0.0132,11,0.0819,-6.105,0,0.16,173.991,0.598,28,-0.719659654,0.025468011,1.348980335,1.339380897,0.177671059,1.552883545,-0.650805717,0.235018983,-1.417641964,0.994702327,2.339904211,-0.14789291
28,1,Nashe Si Chadh Gayi,2EKXTA9QxkW6XeQ2uEeIii,Arijit Singh,0.113,0.8,238289,0.779,0,4,0.206,-5.515,0,0.0553,96.948,0.266,29,-0.76432228,0.918839931,-0.436538678,0.368099084,-0.170660919,-0.407417381,0.239644564,0.48992601,-1.417641964,-0.351781782,-0.78353424,-1.696109673
29,1,"Kar Har Maidaan Fateh (From ""Sanju"")",3FHl1QYu76zguwjqhqcglX,Sukhwinder Singh,0.0189,0.557,312158,0.821,0,1,0.0863,-7.794,0,0.0573,170.022,0.184,30,-1.146390742,-0.846114349,0.704506074,0.618368018,-0.170660919,-1.24754635,-0.619234555,-0.494706388,-1.417641964,-0.326060978,2.178995014,-2.07850056
30,1,The Humma Song,7heMX7gyHP0mhTlNgd7Lxd,Tanishk Bagchi,0.0115,0.721,179658,0.65,0.000137,0,0.34,-6.95,0,0.136,130.491,0.391,31,-1.176436508,0.34504821,-1.342204043,-0.400584069,-0.167045655,-1.527589339,1.20112996,-0.130059725,-1.417641964,0.686052674,0.576349149,-1.113196735
31,1,Jab Mila Tu,6Sp7azay1NZU4wxlFacWCl,Vishal-Shekhar,0.0482,0.626,251853,0.561,0,9,0.304,-6.644,0,0.0304,167.916,0.794,32,-1.027425748,-0.344954492,-0.227017349,-0.930915856,-0.170660919,0.992797566,0.942820451,0.002146292,-1.417641964,-0.672005796,2.093614624,0.766114577
32,1,Aadat Se Majboor,7CDP4uXu6mkBDzaTOx9yTS,Ranveer Singh,0.359,0.836,277760,0.629,3.01E-05,9,0.101,-7.812,0,0.0788,115.048,0.801,33,0.23449644,1.180314639,0.173164681,-0.525718535,-0.169866617,0.992797566,-0.513758172,-0.502483213,-1.417641964,-0.049562331,-0.049733168,0.798757701
33,1,"Say ""Shava Shava""",7CdABTaND3EW5cETakiBD3,Aadesh Shrivastava,0.0503,0.665,408920,0.908,0,2,0.0798,-4.804,1,0.188,98.811,0.694,34,-1.018899246,-0.061690225,2.199175994,1.136782237,-0.170660919,-0.96750336,-0.665873771,0.797110581,0.705396726,1.354793588,-0.708005433,0.299784226
34,1,Mere Brother Ki Dulhan,5dRt6VYOszdQAzMkP8PU9J,KK,0.212,0.825,264882,0.89,4.32E-05,6,0.0415,-7.674,1,0.058,120.024,0.756,35,-0.362358649,1.10041959,-0.025760095,1.029524123,-0.169520924,0.152668597,-0.940686388,-0.442860891,0.705396726,-0.317058696,0.152001314,0.588909044
35,1,Tere Naina,1AXQ4ZCUueIfGGEYAdq9Pe,Shafqat Amanat Ali,0.558,0.551,278547,0.74,0,0,0.144,-7.019,1,0.0452,92.761,0.731,36,1.042483942,-0.889693467,0.185321367,0.135706503,-0.170660919,-1.527589339,-0.205221813,-0.159870886,0.705396726,-0.481671844,-0.953281482,0.472326456
36,1,Deewangi Deewangi,7emLx4rVwr0tPyjktu7A7U,Shaan,0.0289,0.725,352388,0.918,5.13E-06,9,0.602,-4.875,1,0.0447,107.975,0.927,37,-1.105788355,0.374100956,1.325933607,1.196370078,-0.170525545,0.992797566,3.081049167,0.766435328,0.705396726,-0.488102045,-0.336483167,1.386333943
37,1,Mere Bina,4rSmmC6OYmjVOYxr8ruVWN,Pritam,0.653,0.495,289560,0.768,0,2,0.152,-5.7,1,0.0545,79.909,0.489,38,1.428206619,-1.296431902,0.355437733,0.302552459,-0.170660919,-0.96750336,-0.1478197,0.409997536,0.705396726,-0.362070104,-1.474320784,-0.656192992
38,1,Koi Kahe Kehta Rahe,5zKRKQwLVBT1WDJE7XJrnm,Shankar Mahadevan,0.00166,0.749,346200,0.734,6.48E-06,1,0.108,-7.058,1,0.0594,131.975,0.652,39,-1.216389257,0.548417428,1.230348382,0.099953798,-0.17048992,-1.24754635,-0.463531322,-0.176720673,0.705396726,-0.299054133,0.636512729,0.103925479
39,1,Hawayein,0l6g8Z8mqGbGXFOjigYetD,Arijit Singh,0.795,0.606,289999,0.601,0.000522,2,0.127,-5.576,1,0.0283,125.964,0.453,40,2.004760514,-0.490218219,0.362218909,-0.692564491,-0.156885973,-0.96750336,-0.327201304,0.463571216,0.705396726,-0.699012641,0.392817798,-0.824071918
40,1,"Yun Hi Chala Chal (From ""Swades"")",2Q4PfYBPwVBONmzqrtBHFr,Kailash Kher,0.0593,0.822,446987,0.687,0,9,0.0609,-8.167,1,0.0421,106.47,0.816,41,-0.982357098,1.078630031,2.787191949,-0.180109056,-0.170660919,0.992797566,-0.801486264,-0.655859475,0.705396726,-0.521539091,-0.397498118,0.868707254
41,1,Tum Ho Toh,2uy15favOgEOtS8wjAD9B1,Farhan Akhtar,0.785,0.469,251277,0.361,0.00154,0,0.104,-8.275,1,0.0293,111.972,0.0775,42,1.964158127,-1.485274747,-0.235914745,-2.122672682,-0.130022188,-1.527589339,-0.492232379,-0.702520422,0.705396726,-0.686152239,-0.174438809,-2.575142383
42,1,Nazrein Milaana Nazrein Churaana,6vGS2j6ou5AWu7wJYMQwuM,Benny Dayal,0.103,0.751,234858,0.54,0.000224,9,0.102,-7.942,1,0.0753,110.015,0.9,43,-0.804924667,0.562943801,-0.489536884,-1.056050323,-0.164749831,0.992797566,-0.506582907,-0.558649168,0.705396726,-0.094573738,-0.253778516,1.260424748
43,1,Bezubaan,2ota18jyZVMGvwQ0IV8qz7,Sachin-Jigar,0.0286,0.416,282840,0.573,2.06E-06,1,0.11,-8.264,1,0.066,102.041,0.163,44,-1.107006426,-1.870223623,0.251634775,-0.859410447,-0.170606558,-1.24754635,-0.449180794,-0.697767919,0.705396726,-0.214175479,-0.577056402,-2.176429934
44,1,Hey Ganaraya,3OoivGRgydZVFGzXh77rEA,Divya Kumar,0.607,0.509,292799,0.933,0.0302,0,0.0595,-7.034,1,0.257,118.871,0.429,45,1.241435638,-1.194747294,0.405470141,1.28575184,0.626280426,-1.527589339,-0.811531634,-0.166351573,0.705396726,2.242161338,0.10525697,-0.935991202
45,1,Deva Shree Ganesha,6Ozx2ngGtXrqznTKhKBlrT,Ajay-Atul,0.238,0.34,356827,0.96,4.32E-06,1,0.0378,-5.427,1,0.0802,150.04,0.475,46,-0.256792442,-2.422225785,1.394502257,1.446639012,-0.17054692,-1.24754635,-0.967234866,0.527946042,0.705396726,-0.031557768,1.368894848,-0.721479241
